well_id,FieldIndex,x_micrometer,y_micrometer,z_micrometer,pixel_size_z,z_pixel,Time,pixel_size_x,pixel_size_y,x_pixel,y_pixel,bit_depth,x_micrometer_original,y_micrometer_original
E05,3,288.3,-269.1,0,1.0,247,2022-05-31 00:40:28.864000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,288.3,-269.1
E05,4,1754.2,111.8,0,1.0,247,2022-05-31 00:42:46.914000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1754.2,111.8
E05,5,-1339.1,300.0,0,1.0,247,2022-05-31 00:45:05.172000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1339.1,137.6
E05,6,75.1,400.0,0,1.0,247,2022-05-31 00:47:23.297000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,75.1,253.9
E05,7,1069.7,996.6,0,1.0,247,2022-05-31 00:49:41.106000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1069.7,996.6
E06,1,-1519.9,-1928.8,0,1.0,247,2022-05-31 00:58:48.101000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1519.9,-1928.8
E06,2,1728.4,-294.9,0,1.0,247,2022-05-31 01:01:07.006000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1728.4,-294.9
E06,3,94.5,-269.1,0,1.0,247,2022-05-31 01:03:25.091000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,94.5,-269.1
E06,4,2406.5,-198.1,0,1.0,247,2022-05-31 01:06:48.242000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2406.5,-198.1
E06,5,1192.4,1248.4,0,1.0,247,2022-05-31 01:09:05.622000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1192.4,1248.4
E07,1,42.9,-2542.3,0,1.0,247,2022-05-31 01:16:27.473000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,42.9,-2542.3
E07,2,-1610.3,-2090.3,0,1.0,247,2022-05-31 01:18:46.424000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1610.3,-2090.3
E07,3,1948.0,-533.9,0,1.0,247,2022-05-31 01:21:04.340000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1948.0,-533.9
E07,4,985.7,596.2,0,1.0,247,2022-05-31 01:23:22.073000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,985.7,596.2
F02,1,-1164.7,-1980.5,0,1.0,247,2022-05-31 01:31:06.206000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1164.7,-1980.5
